Date,Year,Month,Day,DOW,Public holiday,Adelaide,Brisbane,Canberra,Darwin,Hobart,Melbourne,Perth,Sydney,Number,National_holiday,,,,,,,,,,,,,,,
14/6/2021,2021,6,14,Monday,Queen's Birthday,1,,1,1,1,1,,1,6,FALSE,,,,,,,,,,,,,,,
2/8/2021,2021,8,2,Monday,Picnic Day,,,,1,,,,,1,FALSE,,,,,,,,,,,,,,,
24/9/2021,2021,9,24,Friday,AFL Grand Final Eve,,,,,,1,,,1,FALSE,,,,,,,,,,,,,,,
27/9/2021,2021,9,27,Monday,Queen's Birthday,,,,,,,1,,1,FALSE,,,,,,,,,,,,,,,
4/10/2021,2021,10,4,Monday,Queen's Birthday & Labour Day,1,1,1,,,,,1,4,FALSE,,,,,,,,,,,,,,,
21/10/2021,2021,10,21,Thursday,Royal Hobart Show,,,,,1,,,,1,FALSE,,,,,,,,,,,,,,,
29/10/2021,2021,10,29,Friday,People's long weekend (replaces Royal Queensland Show),,1,,,,,,,1,FALSE,,,,,,,,,,,,,,,
2/11/2021,2021,11,2,Tuesday,Melbourne Cup,,,,,,1,,,1,FALSE,,,,,,,,,,,,,,,
25/12/2021,2021,12,25,Saturday,Christmas Day,,1,1,1,1,1,1,1,7,FALSE,,,,,,,,,,,,,,,
26/12/2021,2021,12,26,Sunday,Boxing Day,,1,1,1,,1,1,1,6,FALSE,,,,,,,,,,,,,,,
27/12/2021,2021,12,27,Monday,Christmas Day Observance,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
28/12/2021,2021,12,28,Tuesday,Boxing Day Observance,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
1/1/2022,2022,1,1,Saturday,New Year's Day,,1,1,1,,1,1,1,6,FALSE,,,,,,,,,,,,,,,
3/1/2022,2022,1,3,Monday,New Year's Day Observance,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
26/1/2022,2022,1,26,Wednesday,Australia Day,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
14/2/2022,2022,2,14,Monday,Royal Hobart Regatta,,,,,1,,,,1,FALSE,,,,,,,,,,,,,,,
7/3/2022,2022,3,7,Monday,Labour Day,,,,,,,1,,1,FALSE,,,,,,,,,,,,,,,
14/3/2022,2022,3,14,Monday,"Adelaide Cup, Canberra Day, Eight Hours Day & Labour Day",1,,1,,1,1,,,4,FALSE,,,,,,,,,,,,,,,
15/4/2022,2022,4,15,Friday,Good Friday,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
16/4/2022,2022,4,16,Saturday,Easter Saturday,1,1,1,1,,1,,1,6,FALSE,,,,,,,,,,,,,,,
17/4/2022,2022,4,17,Sunday,Easter Sunday,,1,1,1,,1,1,1,6,FALSE,,,,,,,,,,,,,,,
18/4/2022,2022,4,18,Monday,Easter Monday,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
25/4/2022,2022,4,25,Monday,ANZAC Day,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
2/5/2022,2022,5,2,Monday,Labour Day & May Day,,1,,1,,,,,2,FALSE,,,,,,,,,,,,,,,
30/5/2022,2022,5,30,Monday,Reconciliation Day,,,1,,,,,,1,FALSE,,,,,,,,,,,,,,,
6/6/2022,2022,6,6,Monday,Western Australia Day,,,,,,,1,,1,FALSE,,,,,,,,,,,,,,,
13/6/2022,2022,6,13,Monday,Queen's Birthday,1,,1,1,1,1,,1,6,FALSE,,,,,,,,,,,,,,,
1/8/2022,2022,8,1,Monday,Picnic Day,,,,1,,,,,1,FALSE,,,,,,,,,,,,,,,
10/8/2022,2022,8,10,Wednesday,Royal Queensland Show,,1,,,,,,,1,FALSE,,,,,,,,,,,,,,,
23/9/2022,2022,9,23,Friday,AFL Grand Final Eve,,,,,,1,,,1,FALSE,,,,,,,,,,,,,,,
26/9/2022,2022,9,26,Monday,Queen's Birthday,,,,,,,1,,1,FALSE,,,,,,,,,,,,,,,
3/10/2022,2022,10,3,Monday,Queen's Birthday & Labour Day,1,1,1,,,,,1,4,FALSE,,,,,,,,,,,,,,,
20/10/2022,2022,10,20,Thursday,Royal Hobart Show,,,,,1,,,,1,FALSE,,,,,,,,,,,,,,,
1/11/2022,2022,11,1,Tuesday,Melbourne Cup,,,,,,1,,,1,FALSE,,,,,,,,,,,,,,,
25/12/2022,2022,12,25,Sunday,Christmas Day,,1,1,1,1,1,1,1,7,FALSE,,,,,,,,,,,,,,,
26/12/2022,2022,12,26,Monday,Boxing Day & Proclamation Day,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
27/12/2022,2022,12,27,Tuesday,Additional Public Holiday,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
1/1/2023,2023,1,1,Sunday,New Year's Day,,1,,1,,1,1,1,5,FALSE,,,,,,,,,,,,,,,
2/1/2023,2023,1,2,Monday,New Year's Day Observance,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
26/1/2023,2023,1,26,Thursday,Australia Day,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
14/2/2023,2023,2,14,Tuesday,Royal Hobart Regatta,,,,,1,,,,1,FALSE,,,,,,,,,,,,,,,
6/3/2023,2023,3,6,Monday,Labour Day,,,,,,,1,,1,FALSE,,,,,,,,,,,,,,,
13/3/2023,2023,3,13,Monday,"Adelaide Cup, Canberra Day, Eight Hours Day & Labour Day",1,,1,,1,1,,,4,FALSE,,,,,,,,,,,,,,,
7/4/2023,2023,4,7,Friday,Good Friday,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
8/4/2023,2023,4,8,Saturday,Easter Saturday,1,1,1,1,,1,,1,6,FALSE,,,,,,,,,,,,,,,
9/4/2023,2023,4,9,Sunday,Easter Sunday,,1,1,,,1,1,1,5,FALSE,,,,,,,,,,,,,,,
10/4/2023,2023,4,10,Monday,Easter Monday,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
25/4/2023,2023,4,25,Tuesday,ANZAC Day,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
1/5/2023,2023,5,1,Monday,Labour Day & May Day,,1,,1,,,,,2,FALSE,,,,,,,,,,,,,,,
29/5/2023,2023,5,29,Monday,Reconciliation Day,,,1,,,,,,1,FALSE,,,,,,,,,,,,,,,
5/6/2023,2023,6,5,Monday,Western Australia Day,,,,,,,1,,1,FALSE,,,,,,,,,,,,,,,
12/6/2023,2023,6,12,Monday,Queen's Birthday,1,,1,1,1,1,,1,6,FALSE,,,,,,,,,,,,,,,
7/8/2023,2023,8,7,Monday,Picnic Day,,,,1,,,,,1,FALSE,,,,,,,,,,,,,,,
16/8/2023,2023,8,16,Wednesday,Royal Queensland Show,,1,,,,,,,1,FALSE,,,,,,,,,,,,,,,
25/9/2023,2023,9,25,Monday,Queen's Birthday,,,,,,,1,,1,FALSE,,,,,,,,,,,,,,,
29/9/2023,2023,9,29,Friday,AFL Grand Final Eve (date is not confirmed and is subject to the currently unreleased 2023 AFL schedule),,,,,,1,,,1,FALSE,,,,,,,,,,,,,,,
2/10/2023,2023,10,2,Monday,Queen's Birthday & Labour Day,1,1,1,,,,,1,4,FALSE,,,,,,,,,,,,,,,
26/10/2023,2023,10,26,Thursday,Royal Hobart Show,,,,,1,,,,1,FALSE,,,,,,,,,,,,,,,
7/11/2023,2023,11,7,Tuesday,Melbourne Cup,,,,,,1,,,1,FALSE,,,,,,,,,,,,,,,
25/12/2023,2023,12,25,Monday,Christmas Day,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
26/12/2023,2023,12,26,Tuesday,Boxing Day & Proclamation Day,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
1/1/2024,2024,1,1,Monday,New Year's Day,,1,,1,,1,1,1,5,TRUE,,,,,,,,,,,,,,,
26/1/2024,2024,1,26,Friday,Australia Day,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
14/2/2024,2024,2,14,Wednesday,Royal Hobart Regatta,,,,,1,,,,1,FALSE,,,,,,,,,,,,,,,
11/3/2024,2024,3,11,Monday,Labour Day,,,,,,,1,,1,FALSE,,,,,,,,,,,,,,,
NaN,2024,#VALUE!,#VALUE!,NaN,"Adelaide Cup, Canberra Day, Eight Hours Day & Labour Day",1,,1,,1,1,,,4,FALSE,,,,,,,,,,,,,,,
29/3/2024,2024,3,29,Friday,Good Friday,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
30/3/2024,2024,3,30,Saturday,Easter Saturday,1,1,1,1,,1,,1,6,FALSE,,,,,,,,,,,,,,,
31/3/2024,2024,3,31,Sunday,Easter Sunday,,1,1,,,1,1,1,5,FALSE,,,,,,,,,,,,,,,
1/4/2024,2024,4,1,Monday,Easter Monday,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
25/4/2023,2024,4,25,Tuesday,ANZAC Day,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
NaN,2024,#VALUE!,#VALUE!,NaN,Labour Day & May Day,,1,,1,,,,,2,FALSE,,,,,,,,,,,,,,,
NaN,2024,#VALUE!,#VALUE!,NaN,Reconciliation Day,,,1,,,,,,1,FALSE,,,,,,,,,,,,,,,
NaN,2024,#VALUE!,#VALUE!,NaN,Western Australia Day,,,,,,,1,,1,FALSE,,,,,,,,,,,,,,,
NaN,2024,#VALUE!,#VALUE!,NaN,Queen's Birthday,1,,1,1,1,1,,1,6,FALSE,,,,,,,,,,,,,,,
NaN,2024,#VALUE!,#VALUE!,NaN,Picnic Day,,,,1,,,,,1,FALSE,,,,,,,,,,,,,,,
NaN,2024,#VALUE!,#VALUE!,NaN,Royal Queensland Show,,1,,,,,,,1,FALSE,,,,,,,,,,,,,,,
NaN,2024,#VALUE!,#VALUE!,NaN,Queen's Birthday,,,,,,,1,,1,FALSE,,,,,,,,,,,,,,,
NaN,2024,#VALUE!,#VALUE!,NaN,AFL Grand Final Eve (date is not confirmed and is subject to the currently unreleased 2023 AFL schedule),,,,,,1,,,1,FALSE,,,,,,,,,,,,,,,
NaN,2024,#VALUE!,#VALUE!,NaN,Queen's Birthday & Labour Day,1,1,1,,,,,1,4,FALSE,,,,,,,,,,,,,,,
NaN,2024,#VALUE!,#VALUE!,NaN,Royal Hobart Show,,,,,1,,,,1,FALSE,,,,,,,,,,,,,,,
NaN,2024,#VALUE!,#VALUE!,NaN,Melbourne Cup,,,,,,1,,,1,FALSE,,,,,,,,,,,,,,,
25/12/2024,2024,12,25,Wednesday,Christmas Day,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
26/12/2024,2024,12,26,Thursday,Boxing Day & Proclamation Day,1,1,1,1,1,1,1,1,8,TRUE,,,,,,,,,,,,,,,
