person
ACCIDENT_NO,PERSON_ID,VEHICLE_ID,SEX,AGE_GROUP,INJ_LEVEL,INJ_LEVEL_DESC,SEATING_POSITION,HELMET_BELT_WORN,ROAD_USER_TYPE,ROAD_USER_TYPE_DESC,LICENCE_STATE,TAKEN_HOSPITAL,EJECTED_CODE
T20200005226,A,A,F,30-39,3,Other injury,D,1,2,Drivers,V,,
T20200005226,B,B,F,40-49,4,Not injured,D,1,2,Drivers,V,,
T20200007428,A,A,U,Unknown,4,Not injured,D,9,2,Drivers,Z,,0
T20200007428,C,C,F,60-64,3,Other injury,D,1,2,Drivers,V,,0
T20200007428,B,B,F,30-39,4,Not injured,D,9,2,Drivers,Z,,0
T20210025357,A,A,F,40-49,3,Other injury,D,1,2,Drivers,V,,
T20230020582,A,A,F,30-39,3,Other injury,D,9,6,Bicyclists,,N,2
T20240007838,A,A,M,40-49,4,Not injured,D,1,2,Drivers,V,,0
T20200005548,1,C,M,16-17,4,Not injured,NK,9,9,Not Known,,,0
T20200005548,2,C,U,13-15,4,Not injured,NK,9,9,Not Known,,,0
T20200005548,C,C,M,16-17,3,Other injury,D,9,2,Drivers,V,,0
T20200008717,A,A,M,30-39,3,Other injury,D,9,4,Motorcyclists,V,,1
T20200008717,B,B,U,Unknown,4,Not injured,NK,9,2,Drivers,Z,,0
T20200003528,B,B,M,60-64,4,Not injured,D,9,2,Drivers,V,,
T20200003528,A,A,M,26-29,3,Other injury,D,9,2,Drivers,V,,
T20230013042,A,A,F,70,2,Serious injury,D,1,2,Drivers,V,Y,0
T20230015940,A,A,M,30-39,4,Not injured,D,9,2,Drivers,V,,0
T20230015940,B,B,F,22-25,2,Serious injury,D,9,2,Drivers,V,Y,0
T20230013514,A,A,M,50-59,2,Serious injury,D,6,4,Motorcyclists,V,Y,2
T20230014207,B,B,M,30-39,4,Not injured,D,9,2,Drivers,Z,,9
T20230020341,B,B,M,40-49,2,Serious injury,D,6,6,Bicyclists,V,Y,2
T20200015546,A,A,F,18-21,4,Not injured,D,1,2,Drivers,V,,
T20200015546,B,B,M,30-39,3,Other injury,D,1,2,Drivers,V,,
T20200018245,B,B,M,50-59,4,Not injured,NK,9,2,Drivers,V,,
T20200018245,A,A,M,40-49,3,Other injury,D,9,2,Drivers,V,,
T20200012474,A,A,F,30-39,4,Not injured,D,9,2,Drivers,V,,
T20200012474,B,B,M,26-29,3,Other injury,D,9,2,Drivers,O,,
T20190019190,A,A,M,26-29,3,Other injury,D,9,4,Motorcyclists,V,,0
T20210007140,2,A,M,5-12,4,Not injured,RR,1,3,Passengers,,,0
T20210007140,A,A,F,30-39,4,Not injured,D,9,2,Drivers,V,,0
T20210007140,1,A,M,5-12,3,Other injury,CR,1,3,Passengers,,N,0
T20210007140,B,B,M,65-69,4,Not injured,D,9,2,Drivers,V,,0
T20210007476,A,A,M,26-29,3,Other injury,D,9,2,Drivers,V,,0
T20160021936,2,,M,65-69,2,Serious injury,NA,8,1,Pedestrians,,Y,0
T20160021936,B,B,M,40-49,2,Serious injury,D,1,2,Drivers,V,Y,0
T20210013954,B,B,M,40-49,4,Not injured,D,9,2,Drivers,V,,0
T20230014696,A,A,M,22-25,4,Not injured,D,9,2,Drivers,V,,0
T20210020559,B,B,M,65-69,4,Not injured,D,1,2,Drivers,V,,0
T20210006301,A,A,M,65-69,3,Other injury,D,1,2,Drivers,V,N,0
T20230021834,B,B,F,40-49,4,Not injured,D,9,2,Drivers,V,,0
T20210012442,1,,M,26-29,3,Other injury,NA,8,1,Pedestrians,,,0
T20190001464,A,A,M,30-39,4,Not injured,D,1,2,Drivers,V,,0
T20190001464,B,B,M,30-39,3,Other injury,D,6,4,Motorcyclists,V,Y,1
T20190013467,A,A,M,18-21,2,Serious injury,D,7,4,Motorcyclists,V,Y,1
T20190018637,B,B,F,50-59,3,Other injury,D,1,2,Drivers,V,N,0
T20200014806,B,B,F,50-59,2,Serious injury,D,6,6,Bicyclists,,Y,1
T20240001970,A,A,F,26-29,3,Other injury,D,1,2,Drivers,V,N,0
T20190010690,A,A,M,65-69,3,Other injury,D,9,2,Drivers,V,,0
T20200001820,C,C,F,26-29,4,Not injured,D,1,2,Drivers,V,,
T20210009162,A,A,M,22-25,4,Not injured,D,9,2,Drivers,V,,0
T20190010871,1,,F,65-69,3,Other injury,NA,8,1,Pedestrians,,Y,0
T20190010871,A,A,M,70,4,Not injured,D,1,2,Drivers,V,,0
T20210010247,1,A,F,13-15,4,Not injured,LF,9,3,Passengers,,,0
T20210010247,A,A,M,40-49,4,Not injured,D,9,2,Drivers,V,,0
T20190022001,A,A,M,40-49,3,Other injury,D,6,6,Bicyclists,V,N,1
T20210012194,A,A,M,26-29,4,Not injured,D,1,2,Drivers,W,,0
T20210012194,C,C,M,26-29,4,Not injured,D,9,2,Drivers,V,,0
T20140006633,A,A,M,50-59,4,Not injured,D,1,2,Drivers,V,,0
T20140003563,1,A,M,40-49,3,Other injury,LF,1,3,Passengers,V,Y,0
T20140003563,B,B,M,40-49,4,Not injured,D,1,2,Drivers,V,,0
